vacancy_name,company,link,salary_min,salary_max,salary_currency
Senior Backend Developer (Python),ООО Retail Rocket,https://reutov.hh.ru/vacancy/76565595?from=vacancy_search_list&query=python,,350000.0,руб.
Data scientist,Астор,https://reutov.hh.ru/vacancy/74376536?from=vacancy_search_list&query=python,200000.0,240000.0,руб.
Python developer (FastAPI),КИБЕР-РОМ,https://reutov.hh.ru/vacancy/76009255?from=vacancy_search_list&query=python,,250000.0,руб.
Специалист по автоматизации/Разработчик (SQL/VBA/Python),ООО АЙТИ.СПЕЙС,https://reutov.hh.ru/vacancy/77080309?from=vacancy_search_list&query=python,,200000.0,руб.
Разработчик Python,"Агентство 21 век, КЦ",https://reutov.hh.ru/vacancy/76868760?from=vacancy_search_list&query=python,,300000.0,руб.
Python developer,ООО Константа,https://reutov.hh.ru/vacancy/75574711?from=vacancy_search_list&query=python,,,not stated
TechLead (Python),"Лента, федеральная розничная сеть, IT ",https://reutov.hh.ru/vacancy/72234221?from=vacancy_search_list&query=python,,,not stated
Python-разработчик в команду Data Science,2ГИС,https://reutov.hh.ru/vacancy/77050354?from=vacancy_search_list&query=python,,,not stated
Python-разработчик,Outlines Technologies,https://reutov.hh.ru/vacancy/75793282?from=vacancy_search_list&query=python,,,not stated
Python-разработчик,АО РАСЧЕТНЫЕ РЕШЕНИЯ,https://reutov.hh.ru/vacancy/53864420?from=vacancy_search_list&query=python,,,not stated
Разработчик Python (ETL),Сбер для экспертов,https://reutov.hh.ru/vacancy/77077906?from=vacancy_search_list&query=python,,,not stated
Junior Python разработчик,Диалог Регионы,https://reutov.hh.ru/vacancy/76805135?from=vacancy_search_list&query=python,,,not stated
Аналитик данных (Data Analist),ООО Профессиональный экологический консалтинг,https://reutov.hh.ru/vacancy/76584671?from=vacancy_search_list&query=python,,,not stated
Python разработчик (Middle),Лига Цифровой Экономики,https://reutov.hh.ru/vacancy/77093669?from=vacancy_search_list&query=python,,,not stated
Разработчик бэкенда на Python в Вертикали,Яндекс,https://reutov.hh.ru/vacancy/76831391?from=vacancy_search_list&query=python,,,not stated
Python backend разработчик,AdCombo.com,https://reutov.hh.ru/vacancy/77073026?from=vacancy_search_list&query=python,,,not stated
Python developer (Middle),Secreate,https://reutov.hh.ru/vacancy/76958359?from=vacancy_search_list&query=python,170000.0,,руб.
Тьютор (удаленная работа),СИНЕРГИЯ,https://reutov.hh.ru/vacancy/76125298?from=vacancy_search_list&query=python,46000.0,58000.0,руб.
Python (Django) Backend developer,WebGears Services,https://reutov.hh.ru/vacancy/76768230?from=vacancy_search_list&query=python,,280000.0,руб.
Senior Python разработчик,ООО Альфа Базис,https://reutov.hh.ru/vacancy/77155591?from=vacancy_search_list&query=python,150000.0,200000.0,руб.
Middle/senior python разработчик,Триафлай,https://reutov.hh.ru/vacancy/76712283?from=vacancy_search_list&query=python,200000.0,,руб.
SQL-разработчик,ООО Отус,https://reutov.hh.ru/vacancy/76988404?from=vacancy_search_list&query=python,,65000.0,руб.
Senior Python Developer (Кипр),Wisebits,https://reutov.hh.ru/vacancy/76929480?from=vacancy_search_list&query=python,4000.0,,EUR
Senior Python Developer,Компэл,https://reutov.hh.ru/vacancy/69345269?from=vacancy_search_list&query=python,200000.0,250000.0,руб.
Аналитик данных / Data Analyst,ООО Центр экологической безопасности гражданской авиации,https://reutov.hh.ru/vacancy/77024983?from=vacancy_search_list&query=python,80000.0,120000.0,руб.
Аналитик данных / Data Analyst,"Телеканал Россия, ГТК",https://reutov.hh.ru/vacancy/77068297?from=vacancy_search_list&query=python,,,not stated
Data Scientist в команду качества геопоиска,Яндекс,https://reutov.hh.ru/vacancy/76208597?from=vacancy_search_list&query=python,,,not stated
Аналитик данных Python и VBA (HR),ПАО Ростелеком,https://reutov.hh.ru/vacancy/76939495?from=vacancy_search_list&query=python,,,not stated
Junior/Middle Data Scientist SberData,Сбер для экспертов,https://reutov.hh.ru/vacancy/76911900?from=vacancy_search_list&query=python,,,not stated
Разработчик Python (middle),ООО ПроКомплаенс,https://reutov.hh.ru/vacancy/76816845?from=vacancy_search_list&query=python,,,not stated
Младший инженер САУ по авиа- и автомобильным системам,ООО ЦИТМ Экспонента,https://reutov.hh.ru/vacancy/74248394?from=vacancy_search_list&query=python,,,not stated
Python-разработчик (команда Delivery&Release Management),Сбер. IT,https://reutov.hh.ru/vacancy/76731653?from=vacancy_search_list&query=python,,,not stated
Fullstack developer Python-JS / Фулстек-Разработчик,ООО НТ Прогресс,https://reutov.hh.ru/vacancy/72731847?from=vacancy_search_list&query=python,,,not stated
Python developer (middle),ООО НОВОСИСТЕМ,https://reutov.hh.ru/vacancy/76105043?from=vacancy_search_list&query=python,,,not stated
Full Stack разработчик (Python и Django),URSiP,https://reutov.hh.ru/vacancy/75914241?from=vacancy_search_list&query=python,,,not stated
Разработчик Python(RuPost),Группа компаний Астра,https://reutov.hh.ru/vacancy/43558725?from=vacancy_search_list&query=python,,,not stated
Инженер-программист,ООО АЛЬФАСАТКОМ,https://reutov.hh.ru/vacancy/77073780?from=vacancy_search_list&query=python,80000.0,200000.0,руб.
Дата-инженер/Разработчик (Middle),Платформа Больших Данных,https://reutov.hh.ru/vacancy/76030125?from=vacancy_search_list&query=python,250000.0,300000.0,руб.
WEB/Data-аналитик,ООО ФЛАУВАУ,https://reutov.hh.ru/vacancy/76412397?from=vacancy_search_list&query=python,140000.0,200000.0,руб.
Jun+/Middle Backend,ООО НЬЮЭРАМЕДИА,https://reutov.hh.ru/vacancy/76064463?from=vacancy_search_list&query=python,120000.0,400000.0,руб.
Реверс инженер,ООО Бринго,https://reutov.hh.ru/vacancy/76329447?from=vacancy_search_list&query=python,3000.0,7000.0,EUR
Senior Python разработчик высоконагруженных систем,ООО СмартЭкоСистема,https://reutov.hh.ru/vacancy/76150366?from=vacancy_search_list&query=python,,270000.0,руб.
Фотограмметрист,ООО Партнер,https://reutov.hh.ru/vacancy/77086988?from=vacancy_search_list&query=python,80000.0,,руб.
Разработчик Python,"АО Точных Приборов, НИИ",https://reutov.hh.ru/vacancy/76718141?from=vacancy_search_list&query=python,120000.0,300000.0,руб.
Senior Machine Learning Engineer (Golang/Python/Scala) to Lisbon,Joom,https://reutov.hh.ru/vacancy/73475819?from=vacancy_search_list&query=python,380000.0,,руб.
Data Scientist,"Лента, федеральная розничная сеть, IT ",https://reutov.hh.ru/vacancy/77075807?from=vacancy_search_list&query=python,,,not stated
FPGA DSP разработчик,ООО Райтек,https://reutov.hh.ru/vacancy/76971851?from=vacancy_search_list&query=python,,,not stated
Python разработчик (Проект Персональные данные),"ГРЧЦ, ФГУП",https://reutov.hh.ru/vacancy/54261880?from=vacancy_search_list&query=python,,,not stated
"Аналитик корпоративных массивов данных (с навыками в Data Science, Machine Learning)",ЭкспрессДеньги,https://reutov.hh.ru/vacancy/76385297?from=vacancy_search_list&query=python,,,not stated
Data Scientist / ML Инженер,Stellar Labs,https://reutov.hh.ru/vacancy/76827021?from=vacancy_search_list&query=python,,,not stated
Senior Python (Django) разработчик,Группа Самолет,https://reutov.hh.ru/vacancy/74343712?from=vacancy_search_list&query=python,,,not stated
